,Accuracy,MCC,F1w,Recall_macro,Precision,AUC,Train_s
KNN,0.9529293940911367,0.5178539879818149,0.9612553401787318,0.7150191189888695,0.9726647765763232,0.8759776223249951,0.075
Decision Tree,0.9824737105658488,0.7715790600657105,0.9858236290701361,0.8563911965614832,0.9901886529427841,0.9161797355494453,0.777
Random Forest,0.9839759639459189,0.7837013909103134,0.9866530723629755,0.8412257259195755,0.9899395842489334,0.9813196176811012,27.58
Gradient Boosting,0.971457185778668,0.7112220037440516,0.9807143696967277,0.909986806737195,0.9922532750450158,0.9943641766816368,145.267
XGBoost,0.9769654481722584,0.7405714427713572,0.9833430308436937,0.9012296860743263,0.9913924623882908,0.9943007194000215,3.015
LightGBM,0.9839759639459189,0.804419942898811,0.9878566949224029,0.9219963749352666,0.993019823577947,0.9953356135035337,1.744
MLP (original),0.9424136204306459,0.5765326962150027,0.9599432925858873,0.939870381088738,0.9838840124136856,0.991282617508691,34.479
MLP (upgraded),0.9734601902854282,0.6911305066277412,0.9793333290481064,0.814630450833881,0.9862722469550349,0.9922796756929989,109.826
Stacking (XGB+LGBM→RF),0.9914872308462694,0.8715761480601938,0.9922787038345838,0.8389642672190576,0.9931509470291191,0.9417701507103251,17.641
